DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
222005377,02/01/2022,01/01/2022,0100,20,Olympic,2001,997,TRAFFIC COLLISION,3006 3035 3037 3104 3401 3701 3028 3030 4027,34,M,H,101,STREET,NORTON                       AV,CLINTON                      AV,"(34.0817, -118.317)"
220904006,01/01/2022,01/01/2022,0020,09,Van Nuys,0935,997,TRAFFIC COLLISION,3011 3028 4026 3030 3034 3037 3101,23,M,O,101,STREET,BESSEMER                     ST,TYRONE                       AV,"(34.1808, -118.4443)"
221004014,01/01/2022,01/01/2022,0830,10,West Valley,1047,997,TRAFFIC COLLISION,3011 3028 4026 3030 3037 3101,48,H,W,101,STREET,OXNARD                       ST,ALDEA                        AV,"(34.1802, -118.5076)"
221804029,01/01/2022,01/01/2022,0930,18,Southeast,1863,997,TRAFFIC COLLISION,4025 3003 3024,49,M,H,101,STREET,AVALON,118TH                        ST,"(33.9265, -118.2652)"
220204033,01/01/2022,01/01/2022,1224,02,Rampart,0235,997,TRAFFIC COLLISION,0605 3004 3026 3029 3101 4024 3401 3701 3036,38,M,H,101,STREET,ALVARADO                     ST,TEMPLE                       ST,"(34.0703, -118.268)"
220204015,01/01/2022,01/01/2022,0200,02,Rampart,0281,997,TRAFFIC COLLISION,3401 0605 3011 3028 3030 3033 3034 3037 3101 4024,99,M,O,101,STREET,12TH                         ST,ALVARADO                     ST,"(34.0488, -118.2817)"
220504005,01/01/2022,01/01/2022,1230,05,Harbor,0584,997,TRAFFIC COLLISION,3036 3004 3026 3101 4025,53,M,H,101,STREET,WALKER                       AV,36TH                         ST,"(33.7159, -118.3047)"
222004009,01/01/2022,01/01/2022,0145,20,Olympic,2019,997,TRAFFIC COLLISION,3004 3011 3025 4020,33,M,H,101,STREET,3RD                          ST,VIRGIL                       AV,"(34.069, -118.2868)"
220604025,01/02/2022,01/01/2022,0350,06,Hollywood,0648,997,TRAFFIC COLLISION,3004 3024 3035 3037 3101 3401 3701 4006,26,F,W,101,STREET,HOLLYWOOD                    BL,GRAMERCY                     AV,"(34.1017, -118.3123)"
220204034,01/01/2022,01/01/2022,1224,02,Rampart,0235,997,TRAFFIC COLLISION,0605 3004 3026 3029 3101 4024 3401 3701 3036 3034,38,M,H,101,STREET,ALVARADO                     ST,TEMPLE                       ST,"(34.0703, -118.268)"
222004032,01/01/2022,01/01/2022,1330,20,Olympic,2074,997,TRAFFIC COLLISION,4027 3006 3026 3038 3035 3101 3401 3701 3037,54,M,H,101,STREET,VENICE                       BL,NORMANDIE                    AV,"(34.0438, -118.3004)"
220704001,01/01/2022,01/01/2022,0416,07,Wilshire,0717,997,TRAFFIC COLLISION,3004 3026 3038 4027 3034 3037 3101 3401 3701,27,M,B,101,STREET,HIGHLAND                     AV,ROSEWOOD                     AV,"(34.0803, -118.3385)"
221004025,01/02/2022,01/01/2022,1745,10,West Valley,1018,997,TRAFFIC COLLISION,3006 3028 4026 3030 3037 3101,34,F,W,101,STREET,DEMPSEY                      AV,VALERIO                      ST,"(34.2048, -118.4761)"
221104001,01/01/2022,01/01/2022,0145,11,Northeast,1126,997,TRAFFIC COLLISION,0605 3006 3028 3039 4024 3101 3401 3701 3037,45,F,H,101,STREET,N  AVE 53,LINCOLN                      AV,"(34.1232, -118.2003)"
220704193,01/06/2022,01/01/2022,0100,07,Wilshire,0738,997,TRAFFIC COLLISION,3028 4007 3006 3030 3035 3037 3101 3401 3701,50,F,W,101,STREET,HIGHLAND                     AV,8TH                          ST,"(34.0604, -118.3388)"
221304007,01/01/2022,01/01/2022,0440,13,Newton,1367,997,TRAFFIC COLLISION,3014 3027 3032 3035 3037 3101 4024 3401 3701 0605,36,M,H,101,STREET,STAUNTON                     AV,48TH                         PL,"(34.0006, -118.2421)"
220104056,01/02/2022,01/01/2022,2300,01,Central,0127,997,TRAFFIC COLLISION,0605 3004 3028 4024,31,M,H,101,STREET,SUNSET BL,ALVARADO                     ST,"(34.0527, -118.2398)"
221004024,01/01/2022,01/01/2022,2145,10,West Valley,1049,997,TRAFFIC COLLISION,3011 3024 4026 3037 3039 3602 3101 3034,29,M,H,101,STREET,WOODLEY                      AV,BURBANK                      BL,"(34.1717, -118.4758)"
221104084,01/02/2022,01/01/2022,2220,11,Northeast,1152,997,TRAFFIC COLLISION,0605 4011 3030,26,M,H,101,STREET,1300    TALMADGE                     ST,,"(34.0958, -118.283)"
222004020,01/01/2022,01/01/2022,0910,20,Olympic,2015,997,TRAFFIC COLLISION,3034 3036 3101 3401 3701 3004 3028 4027,72,M,F,101,STREET,VERMONT                      AV,1ST                          ST,"(34.0728, -118.2917)"
220104027,01/01/2022,01/01/2022,0913,01,Central,0161,997,TRAFFIC COLLISION,0605 3014 3028 4024 3101 3401 3701 3030 3037 3035,,M,O,101,STREET,FIGUEROA                     ST,7TH                          ST,"(34.0494, -118.2599)"
221404115,01/04/2022,01/01/2022,0120,14,Pacific,1466,997,TRAFFIC COLLISION,3035 3037 4027 3014 3028 3030,63,M,O,101,STREET,7700    HOSFORD                      AV,,"(33.9717, -118.4017)"
220404002,01/01/2022,01/01/2022,0320,04,Hollenbeck,0441,997,TRAFFIC COLLISION,0605 4024,41,M,O,101,STREET,HOLLYWOOD                    FY,MISSION,"(34.0588, -118.2221)"
221304027,01/01/2022,01/01/2022,0315,13,Newton,1321,997,TRAFFIC COLLISION,3401 3701 0605 3011 3028 3030 3032 3101 4024,49,M,O,101,STREET,23RD,LOS ANGELES,"(34.0268, -118.2659)"
220704006,01/01/2022,01/01/2022,1323,07,Wilshire,0782,997,TRAFFIC COLLISION,3009 3024 4027 3035 3036 3101 3401 3701,46,M,H,101,STREET,FAIRFAX                      AV,ELECTRIC                     DR,"(34.0359, -118.3692)"
220304030,01/01/2022,01/01/2022,1950,03,Southwest,0363,997,TRAFFIC COLLISION,3003 3024 4025 3036,49,F,B,101,STREET,39TH                         ST,CRENSHAW                     BL,"(34.0146, -118.3353)"
220604010,01/01/2022,01/01/2022,1455,06,Hollywood,0659,997,TRAFFIC COLLISION,3004 3026 3029 3035 3036 3101 3401 3701 4027,23,F,H,101,STREET,SERRANO,SUNSET,"(34.0981, -118.3071)"
220804109,01/01/2022,01/01/2022,0510,08,West LA,0886,997,TRAFFIC COLLISION,3030 3011 3028 3034 3037 3101 3401 3701 4008,21,,,101,STREET,BEVERWIL                     DR,BEVERLYWOOD                  ST,"(34.0398, -118.3986)"
220804010,01/01/2022,01/01/2022,1650,08,West LA,0811,997,TRAFFIC COLLISION,4027 3009 3024 3035 3036 3101 3401 3701,57,M,W,101,STREET,SUNSET                       BL,BAYLOR                       ST,"(34.0476, -118.5434)"
221504061,01/02/2022,01/01/2022,2330,15,N Hollywood,1522,997,TRAFFIC COLLISION,3101 3006 3028 4026 3030 3037,74,M,W,101,STREET,ARCHWOOD                     ST,VAN NOORD                    AV,"(34.1924, -118.4148)"
220104009,01/01/2022,01/01/2022,0145,01,Central,0112,997,TRAFFIC COLLISION,0605 3011 3025 3039 3101 4024 3401 3701 3037 3035,33,M,H,101,STREET,FIGUEROA                     ST,TEMPLE                       ST,"(34.0598, -118.2484)"
221404003,01/01/2022,01/01/2022,0115,14,Pacific,1488,997,TRAFFIC COLLISION,4027 3035 3036 3101 3401 3701 3003 3024,46,M,W,101,STREET,96TH,AIRPORT                      BL,"(33.9494, -118.3859)"
220604022,01/02/2022,01/01/2022,2239,06,Hollywood,0622,997,TRAFFIC COLLISION,3011 3028 3035 3037 3102 3401 3701 3032 3039 4027,25,,,101,STREET,MULHOLLAND                   DR,PARK VIEW                    DR,"(34.1146, -118.3607)"
221904020,01/02/2022,01/01/2022,0300,19,Mission,1962,997,TRAFFIC COLLISION,3006 3028 4026 3030 3037 3034 3101,,M,H,101,STREET,NORDHOFF                     ST,NOBLE                        AV,"(34.2355, -118.461)"
220904011,01/01/2022,01/01/2022,0500,09,Van Nuys,0998,997,TRAFFIC COLLISION,3006 3101 3025 4026 3037,50,M,A,101,STREET,DIXIE CANYON                 AV,CHELTENHAM                   DR,"(34.1393, -118.4229)"
220504001,01/01/2022,01/01/2022,0330,05,Harbor,0557,997,TRAFFIC COLLISION,3037 3101 4025 3028 3030,,M,H,101,STREET,1ST                          ST,GAFFEY,"(33.7433, -118.2923)"
220504008,01/02/2022,01/01/2022,0200,05,Harbor,0529,997,TRAFFIC COLLISION,3101 3037 4025 3006 3028 3034,66,M,H,101,STREET,ANAHEIM                      ST,QUAY                         AV,"(33.7803, -118.2573)"
221004006,01/01/2022,01/01/2022,0435,10,West Valley,1001,997,TRAFFIC COLLISION,3011 3034 3028 4026 3030 3037 3101,,M,W,101,STREET,STRATHERN                    ST,TAMPA                        AV,"(34.2156, -118.5535)"
221704001,01/01/2022,01/01/2022,0325,17,Devonshire,1749,997,TRAFFIC COLLISION,3004 3026 4026 3029 3036 3101,20,F,H,101,STREET,DEVONSHIRE                   ST,MONTGOMERY                   AV,"(34.2574, -118.4817)"
221904001,01/01/2022,01/01/2022,0130,19,Mission,1969,997,TRAFFIC COLLISION,3011 3025 4026 3034 3037 3039 3101,,M,O,101,STREET,ARLETA                       AV,WINGO                        ST,"(34.2411, -118.4251)"
221904012,01/01/2022,01/01/2022,1230,19,Mission,1905,997,TRAFFIC COLLISION,3602 3101 3006 3025 4026 3037 3039,,F,H,101,STREET,FOOTHILL                     BL,ASTORIA                      ST,"(34.3128, -118.4373)"
222004040,01/02/2022,01/01/2022,1100,20,Olympic,2039,997,TRAFFIC COLLISION,3006 3028 3035 3037 3101 3401 3701 4020 3039,64,M,H,101,STREET,SUNSET                       PL,WILSHIRE                     PL,"(34.0608, -118.2878)"
221704005,01/01/2022,01/01/2022,1952,17,Devonshire,1753,997,TRAFFIC COLLISION,3039 3037 3101 3006 3028 4026,35,M,H,101,STREET,MASON                        AV,MAYALL                       ST,"(34.2536, -118.5798)"
221204024,01/01/2022,01/01/2022,1405,12,77th Street,1211,997,TRAFFIC COLLISION,3037 3101 3006 3028 4025 3034,49,F,B,101,STREET,CHESLEY,SLAUSON,"(33.989, -118.3344)"
220204040,01/02/2022,01/01/2022,0755,02,Rampart,0212,997,TRAFFIC COLLISION,3101 3401 3701 3036 0605 3026 3034 4002 3004,59,M,W,101,STREET,VERMONT,BEVERLY,"(34.0763, -118.2917)"
220604002,01/06/2022,01/01/2022,0213,06,Hollywood,0632,997,TRAFFIC COLLISION,3011 4006 3028 3035 3036 3101 3701 3401,99,,,101,STREET,STANLEY HILLS                DR,LOOKOUT MOUNTAIN             AV,"(34.1143, -118.3749)"
221504795,01/21/2022,01/01/2022,0635,15,N Hollywood,1543,997,TRAFFIC COLLISION,3006 3028 3030 3037 3101 4026,,F,W,101,STREET,MAGNOLIA                     BL,HERMITAGE                    AV,"(34.1649, -118.4003)"
221104081,01/02/2022,01/02/2022,1825,11,Northeast,1115,997,TRAFFIC COLLISION,0605 4011 3030,29,F,V,101,STREET,2200    YOSEMITE                     DR,,"(34.1367, -118.2089)"
221304069,01/03/2022,01/02/2022,2255,13,Newton,1346,997,TRAFFIC COLLISION,1419 1407 0605 3011 3026 3034 4024 1402 3030 3101,99,M,O,101,STREET,ASCOT                        AV,VERNON                       AV,"(34.0039, -118.25)"
220304068,01/02/2022,01/02/2022,1730,03,Southwest,0321,997,TRAFFIC COLLISION,,62,M,B,101,STREET,LA BREA,OBAMA,"(34.0215, -118.3556)"
221904037,01/03/2022,01/02/2022,2210,19,Mission,1905,997,TRAFFIC COLLISION,3011 3024 4026 3032 3034 3037 3038 3101 3602,21,M,W,101,STREET,FOOTHILL                     BL,SAYRE                        AV,"(34.3105, -118.4342)"
220604081,01/03/2022,01/02/2022,2000,06,Hollywood,0657,997,TRAFFIC COLLISION,3003 3029 4027 3035 3037 3101 3401 3701 1218 3024,69,M,W,101,STREET,WESTERN                      AV,ROMAINE                      ST,"(34.0885, -118.3092)"
220704010,01/02/2022,01/02/2022,0140,07,Wilshire,0762,997,TRAFFIC COLLISION,3011 3028 3030 4027 3035 3037 3101 3401 3701,39,M,B,102,SIDEWALK,LA CIENEGA                   BL,18TH                         BL,"(34.0445, -118.3768)"
221204096,01/02/2022,01/02/2022,1835,12,77th Street,1205,997,TRAFFIC COLLISION,3101 3036 3011 3026 4025 3034 3032,46,F,H,101,STREET,VERMONT                      AV,51ST                         PL,"(33.996, -118.2915)"
221004027,01/02/2022,01/02/2022,0435,10,West Valley,1008,997,TRAFFIC COLLISION,3028 4026 3039 3006 3037 3602 3101,40,M,W,101,STREET,SHERMAN                      WY,DE CELIS                     AV,"(34.2012, -118.4946)"
220804038,01/03/2022,01/02/2022,2000,08,West LA,0835,997,TRAFFIC COLLISION,3025 3029 3035 3037 3101 3401 3701 3004 3038 4027,37,M,B,101,STREET,OLYMPIC                      BL,WESTWOOD                     BL,"(34.0439, -118.4317)"
220904016,01/02/2022,01/02/2022,0815,09,Van Nuys,0955,997,TRAFFIC COLLISION,3002 3028 4026 3034 3036 3004 3101,19,F,H,101,STREET,MAGNOLIA                     BL,HAZELTINE                    AV,"(34.1649, -118.44)"
221404037,01/02/2022,01/02/2022,1025,14,Pacific,1463,997,TRAFFIC COLLISION,3035 3101 3401 3701 3004 3026 3029 4027 3037,18,F,W,108,PARKING LOT,LINCOLN                      BL,W  JEFFERSON                    BL,"(33.9721, -118.4303)"
221804054,01/02/2022,01/02/2022,0001,18,Southeast,1842,997,TRAFFIC COLLISION,3037 3026 3101 3011 3025 3039 4025,23,M,H,101,STREET,IMPERIAL                     HY,MAIN                         ST,"(33.931, -118.2739)"
221004028,01/02/2022,01/02/2022,0850,10,West Valley,1023,997,TRAFFIC COLLISION,3003 3026 4026 3029 3036 3101,35,M,H,101,STREET,SHERMAN                      WY,WILBUR                       AV,"(34.2011, -118.5447)"
220604083,01/03/2022,01/02/2022,2155,06,Hollywood,0668,997,TRAFFIC COLLISION,0907 1402 1822,19,F,H,101,STREET,WILTON                       PL,SUNSET                       BL,"(34.0981, -118.3136)"
220304070,01/03/2022,01/02/2022,2010,03,Southwest,0397,997,TRAFFIC COLLISION,3101 3037 4025 3006 3030,,M,H,101,STREET,DALTON                       AV,42ND                         ST,"(34.0061, -118.3035)"
221104083,01/02/2022,01/02/2022,1127,11,Northeast,1124,997,TRAFFIC COLLISION,0605 4011 3030,26,M,H,101,STREET,3400    DREW                         ST,,"(34.1208, -118.2418)"
221204038,01/02/2022,01/02/2022,0040,12,77th Street,1269,997,TRAFFIC COLLISION,,42,M,O,101,STREET,77TH,DIVISION,"(33.9638, -118.2629)"
220304069,01/03/2022,01/02/2022,2300,03,Southwest,0395,997,TRAFFIC COLLISION,4025 3004 3028 3030,32,F,H,101,STREET,WESTERN                      AV,VERNON                       AV,"(34.0037, -118.3089)"
220404055,01/02/2022,01/02/2022,1935,04,Hollenbeck,0449,997,TRAFFIC COLLISION,0605 4004 3030,28,H,F,101,STREET,2500    MARENGO                      ST,,"(34.0544, -118.2007)"
221004030,01/02/2022,01/02/2022,1140,10,West Valley,1017,997,TRAFFIC COLLISION,3101 3004 3025 4026 3034 3037,32,F,H,101,STREET,BALBOA                       BL,VALERIO                      ST,"(34.2048, -118.5011)"
221304068,01/03/2022,01/02/2022,2250,13,Newton,1377,997,TRAFFIC COLLISION,0605 3002 3004 3028 3030 3033 3034 3037 3101 4024,80,M,H,101,STREET,COMPTON                      AV,56TH                         ST,"(33.9921, -118.2478)"
220104093,01/02/2022,01/02/2022,1610,01,Central,0111,997,TRAFFIC COLLISION,3401 3701 0605 3008 3026 3029 3101 4024,66,M,H,101,STREET,ALPINE                       ST,BROADWAY,"(34.0624, -118.2383)"
220704009,01/02/2022,01/02/2022,0140,07,Wilshire,0762,997,TRAFFIC COLLISION,3004 3026 3029 4027 3035 3037 3101 3401 3701,47,M,O,101,STREET,LA CIENEGA                   BL,18TH                         ST,"(34.0445, -118.3768)"
220204144,01/02/2022,01/02/2022,1035,02,Rampart,0246,997,TRAFFIC COLLISION,0605 3030 4024,40,F,H,101,STREET,WESTLAKE                     AV,WILSHIRE                     BL,"(34.0574, -118.2747)"
220204057,01/02/2022,01/02/2022,1515,02,Rampart,0269,997,TRAFFIC COLLISION,0605 3004 3028 3033 3034 3037 3101 4024,,M,W,110,FREEWAY,HARBOR                       FY,8TH                          ST,"(34.0508, -118.2683)"
220404072,01/03/2022,01/02/2022,2320,04,Hollenbeck,0453,997,TRAFFIC COLLISION,3401 3701 3029 0605 3004 3026 3033 3036 3101 4024,26,F,A,101,STREET,STATE                        ST,CESAR E CHAVEZ,"(34.0498, -118.2151)"
221004034,01/02/2022,01/02/2022,1420,10,West Valley,1088,997,TRAFFIC COLLISION,3036 3104 3004 3028 4026 3034,61,M,W,101,STREET,VENTURA                      BL,HAYVENHURST                  AV,"(34.1576, -118.4923)"
222104028,01/02/2022,01/02/2022,1215,21,Topanga,2145,997,TRAFFIC COLLISION,3036 3101 3004 3028 4026 3034,40,M,W,101,STREET,VANOWEN                      ST,CANOGA                       AV,"(34.1923, -118.6104)"
221804348,01/08/2022,01/02/2022,1850,18,Southeast,1803,997,TRAFFIC COLLISION,3004 3026 4018 3101 3037,20,M,H,101,STREET,SAN PEDRO                    ST,89TH                         ST,"(33.9583, -118.2684)"
221304045,01/02/2022,01/02/2022,1408,13,Newton,1385,997,TRAFFIC COLLISION,0605 3101 3401 3014 3028 3033 3034 3036 0101 4024,32,M,A,101,STREET,CENTRAL                      AV,59TH                         PL,"(33.9861, -118.2565)"
221404389,01/10/2022,01/02/2022,2100,14,Pacific,1414,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4027,31,M,H,101,STREET,LINCOLN                      BL,CALIFORNIA                   AV,"(33.9981, -118.461)"
221504227,01/06/2022,01/02/2022,1800,15,N Hollywood,1583,997,TRAFFIC COLLISION,3037 3101 4015 3004 3026 3029,29,M,B,101,STREET,VENTURA                      BL,BLUE CANYON                  DR,"(34.1405, -118.3854)"
221504228,01/06/2022,01/02/2022,0445,15,N Hollywood,1525,997,TRAFFIC COLLISION,3006 3037 3101 4015 3028 3030,30,M,O,101,STREET,OXNARD                       ST,SIMPSON                      AV,"(34.1794, -118.3889)"
220804039,01/03/2022,01/02/2022,2040,08,West LA,0883,997,TRAFFIC COLLISION,3004 3028 3030 3035 3036 3101 3401 3701 4008,28,M,W,101,STREET,OLYMPIC,SEPULVEDA,"(34.0402, -118.4379)"
221804066,01/10/2022,01/02/2022,1010,18,Southeast,1844,997,TRAFFIC COLLISION,4025 3006 3028 3030 3101 3037,45,M,H,101,STREET,STANFORD                     AV,113TH                        ST,"(33.932, -118.2622)"
222104042,01/02/2022,01/02/2022,2240,21,Topanga,2145,997,TRAFFIC COLLISION,3037 3101 4021 3004 3026 3029,41,M,W,101,STREET,TOPANGA CANYON               BL,VICTORY                      BL,"(34.1878, -118.6059)"
221204569,01/11/2022,01/02/2022,1950,12,77th Street,1233,997,TRAFFIC COLLISION,3101 3037 3004 3025 4012 3029,62,M,H,101,STREET,WESTERN,62ND,"(33.9834, -118.309)"
221404111,01/04/2022,01/02/2022,0510,14,Pacific,1494,997,TRAFFIC COLLISION,3004 3024 3029 3035 3036 3101 3401 3701 4027,62,M,H,101,STREET,MANCHESTER                   AV,SEPULVEDA                    BL,"(33.942, -118.4095)"
221204445,01/09/2022,01/02/2022,1615,12,77th Street,1243,997,TRAFFIC COLLISION,3004 3026 4025 3029 3101 3037,56,M,B,101,STREET,WESTERN                      AV,FLORENCE                     AV,"(33.9746, -118.309)"
221204183,01/04/2022,01/03/2022,1935,12,77th Street,1245,997,TRAFFIC COLLISION,3101 3037 3006 3028 4025 3030,30,M,H,101,STREET,64TH                         ST,KANSAS                       AV,"(33.9814, -118.2937)"
220804107,01/04/2022,01/03/2022,1040,08,West LA,0858,997,TRAFFIC COLLISION,3003 3024 3035 3036 3101 3701 4027 3401,50,M,O,101,STREET,PICO                         BL,ROBERTSON                    BL,"(34.0549, -118.3842)"
221204180,01/03/2022,01/03/2022,1630,12,77th Street,1243,997,TRAFFIC COLLISION,3101 3037 3006 3026 4025 3034,64,M,B,101,STREET,VAN NESS                     AV,65TH                         PL,"(33.98, -118.3177)"
221404090,01/03/2022,01/03/2022,1400,14,Pacific,1452,997,TRAFFIC COLLISION,3004 3028 3034 3037 3101 3401 3701 4027,33,M,W,103,ALLEY,UNION JACK                   ST,PACIFIC                      AV,"(33.9729, -118.4595)"
220704076,01/03/2022,01/03/2022,1544,07,Wilshire,0774,997,TRAFFIC COLLISION,3006 3028 3035 3037 3039 4027 3101 3401 3701,50,F,O,101,STREET,ALSACE                       AV,WASHINGTON                   BL,"(34.0411, -118.3518)"
221904057,01/03/2022,01/03/2022,1620,19,Mission,1962,997,TRAFFIC COLLISION,3011 3028 4026 3030 3034 3037 3101,52,M,W,101,STREET,PLUMMER                      ST,COLUMBUS                     AV,"(34.2428, -118.4643)"
220304079,01/03/2022,01/03/2022,0151,03,Southwest,0394,997,TRAFFIC COLLISION,3006 3026 4025 3039,,X,X,101,STREET,VERNON                       AV,8TH                          AV,"(34.0072, -118.3201)"
221204142,01/03/2022,01/03/2022,0930,12,77th Street,1232,997,TRAFFIC COLLISION,3101 3037 3004 3026 4025 3029,38,F,H,101,STREET,CRENSHAW                     ST,SLAUSON                      AV,"(33.989, -118.3308)"
220804082,01/03/2022,01/03/2022,1245,08,West LA,0885,997,TRAFFIC COLLISION,3034 3037 3101 3401 3701 3004 3028 4027,60,M,B,101,STREET,PICO                         BL,PATRICIA                     AV,"(34.0452, -118.4189)"
220304077,01/03/2022,01/03/2022,0150,03,Southwest,0394,997,TRAFFIC COLLISION,3003 3026 4025 3029 3038,59,F,B,101,STREET,VERNON                       AV,5TH                          AV,"(34.0037, -118.3225)"
221404089,01/03/2022,01/03/2022,1430,14,Pacific,1434,997,TRAFFIC COLLISION,4027 3004 3028 3030 3034 3036 3101 3401 3701,35,M,O,101,STREET,VENICE                       BL,REDWOOD                      AV,"(33.9981, -118.4457)"
221104088,01/03/2022,01/03/2022,1040,11,Northeast,1139,997,TRAFFIC COLLISION,0605 3006 3028 3033 3034 3037 3101 4024,99,M,O,101,STREET,ARROYO,OMAHA,"(34.1054, -118.1894)"
220704078,01/03/2022,01/03/2022,1545,07,Wilshire,0774,997,TRAFFIC COLLISION,3006 3028 3035 3037 3039 4027 3101 3701 3401,50,F,O,101,STREET,ALSACE                       AV,WASHINGTON                   BL,"(34.0411, -118.3518)"
220104150,01/03/2022,01/03/2022,1605,01,Central,0159,997,TRAFFIC COLLISION,3004 3028 3030 3101 4026 3401 3701 0605 3037 3035,55,M,W,101,STREET,FACTORY,ALAMEDA,"(34.0392, -118.2384)"
220204102,01/03/2022,01/03/2022,1550,02,Rampart,0245,997,TRAFFIC COLLISION,0605 3004 3028 3033 3034 3036 3101 4024 3401 3701,53,M,H,101,STREET,WILSHIRE                     BL,CARONDELET                   ST,"(34.0601, -118.2805)"
220504050,01/03/2022,01/03/2022,1145,05,Harbor,0566,997,TRAFFIC COLLISION,4025 3036 3025 3008 3101 3029,66,M,W,101,STREET,PALOS VERDES                 ST,9TH                          ST,"(33.736, -118.2814)"
220304095,01/03/2022,01/03/2022,1845,03,Southwest,0315,997,TRAFFIC COLLISION,3101 3037 3028 3006 4025,,M,H,101,STREET,MANHATTAN                    PL,ADAMS                        BL,"(34.0327, -118.3101)"
221204151,01/03/2022,01/03/2022,0750,12,77th Street,1233,997,TRAFFIC COLLISION,4025 3036 3028 3034 3101 3004,21,X,X,101,STREET,WESTERN                      AV,60TH                         PL,"(33.985, -118.309)"
221804130,01/04/2022,01/03/2022,2240,18,Southeast,1801,997,TRAFFIC COLLISION,3101 3037 4025 3011 3028 3030,57,M,O,101,STREET,FIGUEROA                     ST,88TH                         ST,"(33.9574, -118.2827)"
222004074,01/03/2022,01/03/2022,1855,20,Olympic,2023,997,TRAFFIC COLLISION,3035 3101 3401 3701 4027 3037 3003 3025,33,M,A,101,STREET,W  3RD                          ST,S  ARDMORE                      AV,"(34.069, -118.3016)"
221204160,01/03/2022,01/03/2022,1420,12,77th Street,1256,997,TRAFFIC COLLISION,4025 3101 3026 3037 3006 3029,32,M,H,101,STREET,BROAD                        WY,73RD                         ST,"(33.9727, -118.285)"
222004051,01/03/2022,01/03/2022,0230,20,Olympic,2021,997,TRAFFIC COLLISION,3004 3025 3035 3037 3101 3401 3701 4007 3038,24,M,K,101,STREET,VAN NESS                     AV,WILSHIRE                     BL,"(34.0617, -118.3153)"
221804128,01/04/2022,01/03/2022,2251,18,Southeast,1863,997,TRAFFIC COLLISION,3101 3037 3006 3028 3030 3034 4025,40,M,H,101,STREET,120TH                        ST,SAN PEDRO                    ST,"(33.9237, -118.2696)"
220104193,01/03/2022,01/03/2022,1735,01,Central,0162,997,TRAFFIC COLLISION,0605 3030 4001,52,M,K,101,STREET,W  8TH                          ST,S  OLIVE                        ST,"(34.0452, -118.2569)"
220904064,01/04/2022,01/03/2022,2355,09,Van Nuys,0911,997,TRAFFIC COLLISION,3006 3028 4026 3030 3037 3101,40,M,H,101,STREET,VOSE                         ST,SEPULVEDA                    BL,"(34.1984, -118.4662)"
221004084,01/03/2022,01/03/2022,1340,10,West Valley,1012,997,TRAFFIC COLLISION,3006 3026 4026 3033 3034 3037,35,M,H,101,STREET,SHERMAN                      WY,RESEDA                       BL,"(34.2012, -118.536)"
221704046,01/04/2022,01/03/2022,1705,17,Devonshire,1721,997,TRAFFIC COLLISION,3102 3037 3011 3024 4017 3034,66,F,W,101,STREET,TOPANGA CANYON               BL,TULSA                        ST,"(34.2662, -118.6061)"
221904077,01/04/2022,01/03/2022,2330,19,Mission,1981,997,TRAFFIC COLLISION,3004 3028 4026 3030 3037 3101,40,M,H,101,STREET,SEPULVEDA                    BL,ROSCOE                       BL,"(34.2214, -118.4677)"
221704033,01/03/2022,01/03/2022,1508,17,Devonshire,1705,997,TRAFFIC COLLISION,3004 3028 4026 3032 3034 3037 3103,55,M,W,101,STREET,SAN FERNANDO                 RD,SUNSHINE                     RD,"(34.313, -118.5202)"
220304388,01/10/2022,01/03/2022,1200,03,Southwest,0395,997,TRAFFIC COLLISION,3101 3036 3004 3026 4025 3029,62,M,B,101,STREET,41ST,ST ANDREWS,"(34.009, -118.3113)"
220204101,01/03/2022,01/03/2022,1850,02,Rampart,0257,997,TRAFFIC COLLISION,3401 3701 3034 0605 3006 3028 3033 3036 3101 4002,44,M,H,101,STREET,WILSHIRE,WITMER,"(34.0538, -118.2667)"
220204095,01/03/2022,01/03/2022,1550,02,Rampart,0261,997,TRAFFIC COLLISION,0605 4024 3101 3401 3701 3030 3004 3035 3037 3028,37,F,O,108,PARKING LOT,GRAND VIEW,JAMES M WOOD,"(34.0548, -118.2807)"
221604087,01/04/2022,01/03/2022,2150,16,Foothill,1668,997,TRAFFIC COLLISION,3006 3101 4016 3028 3030 3037,,M,W,101,STREET,FOOTHILL                     BL,HILLHAVEN                    ST,"(34.2499, -118.2908)"
221004048,01/03/2022,01/03/2022,0020,10,West Valley,1035,997,TRAFFIC COLLISION,3011 4026 3026 3030 3037 3602 3101,23,M,H,101,STREET,VICTORY                      BL,ETIWANDA                     AV,"(34.19, -118.5262)"
221504262,01/09/2022,01/03/2022,0315,15,N Hollywood,1532,997,TRAFFIC COLLISION,3103 3011 4015 3034 3037 3025,99,M,O,101,STREET,WILKINSON                    AV,KITTRIDGE                    ST,"(34.1903, -118.4042)"
220504092,01/04/2022,01/03/2022,2130,05,Harbor,0521,997,TRAFFIC COLLISION,3101 3037 4025 3011 3028 3030,,F,H,101,STREET,GAFFEY                       ST,CAPITOL                      DR,"(33.7591, -118.2926)"
